class,image_name,x1,x2,y1,y2
cat,Cat_001.jpg,50,155,20,180
cat,Cat_002.jpg,9,219,-10,224
cat,Cat_003.jpg,68,185,29,185
cat,Cat_003.jpg,112,175,39,180
cat,Cat_004.jpg,67,222,20,196
cat,Cat_004.jpg,139,206,5,165
cat,Cat_005.jpg,-5,224,-5,190
cat,Cat_005.jpg,78,278,4,190
cat,Cat_006.jpg,39,198,49,153
cat,Cat_007.jpg,87,234,9,190
cat,Cat_008.jpg,88,234,26,168
cat,Cat_008.jpg,146,221,26,163
cat,Cat_009.jpg,48,248,29,165
cat,Cat_010.jpg,46,153,4,176
cat,Cat_010.jpg,60,222,23,176
cat,Cat_010.jpg,32,245,83,157
cat,Cat_011.jpg,82,227,41,191
cat,Cat_011.jpg,160,227,31,191
cat,Cat_012.jpg,72,196,10,191
cat,Cat_012.jpg,62,155,10,129
cat,Cat_013.jpg,8,223,34,144
cat,Cat_013.jpg,83,301,39,148
cat,Cat_013.jpg,21,139,30,161
cat,Cat_013.jpg,166,288,26,161
cat,Cat_014.jpg,58,161,29,180
cat,Cat_014.jpg,39,102,73,170
cat,Cat_014.jpg,92,224,43,180
cat,Cat_014.jpg,175,239,53,175
cat,Cat_014.jpg,102,175,53,170
cat,Cat_014.jpg,146,219,58,165
cat,Cat_014.jpg,73,131,39,170
cat,Cat_014.jpg,87,161,29,131
cat,Cat_015.jpg,58,239,24,170
cat,Cat_016.jpg,19,179,33,140
cat,Cat_016.jpg,77,165,33,126
cat,Cat_017.jpg,35,255,-5,179
cat,Cat_019.jpg,34,278,43,165
cat,Cat_019.jpg,43,136,53,156
cat,Cat_020.jpg,99,168,49,158
cat,Cat_020.jpg,79,183,19,173
cat,Cat_021.jpg,81,235,-14,172
cat,Cat_022.jpg,58,195,4,195
cat,Cat_023.jpg,103,240,0,169
cat,Cat_023.jpg,61,297,4,127
cat,Cat_024.jpg,107,243,24,185
cat,Cat_024.jpg,126,234,78,175
cat,Cat_025.jpg,15,254,20,193
cat,Cat_025.jpg,10,127,15,224
cat,Cat_026.jpg,121,273,39,175
cat,Cat_027.jpg,-5,253,14,175
cat,Cat_028.jpg,99,188,0,169
cat,Cat_029.jpg,4,229,31,162
cat,Cat_029.jpg,13,130,13,171
cat,Cat_030.jpg,24,248,9,195
cat,Cat_030.jpg,126,243,0,204
cat,Cat_031.jpg,102,268,-5,209
cat,Cat_032.jpg,97,219,4,185
cat,Cat_033.jpg,79,203,39,193
dog,Cat_n_Dog_001.jpg,108,260,17,169
dog,Cat_n_Dog_001.jpg,86,182,8,173
dog,Cat_n_Dog_001.jpg,191,269,30,169
cat,Cat_n_Dog_001.jpg,39,95,34,160
cat,Cat_n_Dog_001.jpg,156,204,47,165
cat,Cat_n_Dog_001.jpg,47,126,8,173
cat,Cat_n_Dog_002.jpg,5,205,40,175
cat,Cat_n_Dog_002.jpg,55,140,45,160
dog,Cat_n_Dog_002.jpg,110,260,55,170
person,Cat_n_Dog_003.jpg,127,297,9,174
cat,Cat_n_Dog_003.jpg,51,184,23,184
cat,Cat_n_Dog_003.jpg,89,160,23,169
cat,Cat_n_Dog_004.jpg,23,193,66,165
cat,Cat_n_Dog_004.jpg,84,160,56,165
cat,Cat_n_Dog_004.jpg,23,151,84,151
dog,Cat_n_Dog_004.jpg,151,254,14,188
dog,Cat_n_Dog_005.jpg,14,136,48,161
dog,Cat_n_Dog_005.jpg,53,214,48,161
cat,Cat_n_Dog_005.jpg,126,253,43,165
dog,Cat_n_Dog_006.jpg,77,248,31,165
dog,Cat_n_Dog_006.jpg,139,227,20,165
dog,Cat_n_Dog_006.jpg,36,191,31,186
dog,Cat_n_Dog_007.jpg,119,249,44,159
cat,Cat_n_Dog_007.jpg,64,159,64,159
cat,Cat_n_Dog_007.jpg,24,169,84,144
cat,Cat_n_Dog_008.jpg,146,273,14,200
dog,Cat_n_Dog_008.jpg,4,185,14,185
cat,Cat_n_Dog_009.jpg,178,276,26,164
cat,Cat_n_Dog_009.jpg,133,231,8,169
dog,Cat_n_Dog_009.jpg,22,160,13,164
dog,Cat_n_Dog_010.jpg,138,280,17,164
cat,Cat_n_Dog_010.jpg,31,133,22,155
cat,Cat_n_Dog_010.jpg,66,169,17,169
dog,Cat_n_Dog_011.jpg,23,71,85,175
dog,Cat_n_Dog_011.jpg,37,99,75,180
cat,Cat_n_Dog_011.jpg,75,137,52,185
cat,Cat_n_Dog_011.jpg,94,180,18,199
cat,Cat_n_Dog_011.jpg,189,256,66,175
cat,Cat_n_Dog_011.jpg,137,232,23,194
dog,Cat_n_Dog_012.jpg,94,212,28,160
cat,Cat_n_Dog_012.jpg,94,151,56,160
dog,Cat_n_Dog_013.jpg,44,215,22,170
dog,Cat_n_Dog_013.jpg,125,268,44,165
cat,Cat_n_Dog_013.jpg,156,264,22,183
dog,Cat_n_Dog_014.jpg,31,144,25,170
dog,Cat_n_Dog_014.jpg,41,108,20,150
cat,Cat_n_Dog_014.jpg,82,263,103,181
